Árvore gerada por busca
Vértice: 129, Pai: 8989, Distância: 2.7
Vértice: 130, Pai: 9652, Distância: 2.19
Vértice: 131, Pai: 5781, Distância: 2.32
Vértice: 132, Pai: 435, Distância: 2.1
Vértice: 133, Pai: 3624, Distância: 1.71
Vértice: 134, Pai: 8773, Distância: 1.9
Vértice: 135, Pai: 5123, Distância: 2.53
Vértice: 136, Pai: 3240, Distância: 2.03
Vértice: 137, Pai: 7760, Distância: 1.8
Vértice: 138, Pai: 9423, Distância: 2.96
Vértice: 139, Pai: 3018, Distância: 1.87
Vértice: 140, Pai: 9469, Distância: 2.54
Vértice: 141, Pai: 5534, Distância: 2.03
Vértice: 142, Pai: 1378, Distância: 2.47
Vértice: 143, Pai: 3021, Distância: 2.25
Vértice: 144, Pai: 501, Distância: 1.98
Vértice: 145, Pai: 6500, Distância: 2.86
Vértice: 146, Pai: 975, Distância: 2.58
Vértice: 147, Pai: 3367, Distância: 2.11
Vértice: 148, Pai: 7134, Distância: 2.27
Vértice: 149, Pai: 3184, Distância: 2.54
Vértice: 150, Pai: 7553, Distância: 2.31
Vértice: 151, Pai: 910, Distância: 2.54
Vértice: 152, Pai: 3571, Distância: 2.06
Vértice: 153, Pai: 2698, Distância: 2.05
Vértice: 154, Pai: 9552, Distância: 2.31
Vértice: 155, Pai: 8189, Distância: 2.3
Vértice: 156, Pai: 9533, Distância: 1.9
Vértice: 157, Pai: 4729, Distância: 1.65
Vértice: 158, Pai: 5095, Distância: 2.25
Vértice: 159, Pai: 9593, Distância: 2.38
Vértice: 160, Pai: 5440, Distância: 2.1
Vértice: 161, Pai: 7079, Distância: 2.18
Vértice: 162, Pai: 1010, Distância: 2.53
Vértice: 163, Pai: 8567, Distância: 1.97
Vértice: 164, Pai: 9121, Distância: 2.54
Vértice: 165, Pai: 4236, Distância: 2.7
Vértice: 166, Pai: 8917, Distância: 2.61
Vértice: 167, Pai: 4382, Distância: 2.05
Vértice: 168, Pai: 1961, Distância: 2.13
Vértice: 169, Pai: 8551, Distância: 2.37
Vértice: 170, Pai: 8389, Distância: 2.26
Vértice: 171, Pai: 7546, Distância: 2.48
Vértice: 172, Pai: 5339, Distância: 1.93
Vértice: 173, Pai: 4659, Distância: 2.39
Vértice: 174, Pai: 1831, Distância: 1.91
Vértice: 175, Pai: 7306, Distância: 1.68
Vértice: 176, Pai: 3436, Distância: 2.65
Vértice: 177, Pai: 9711, Distância: 2.18
Vértice: 178, Pai: 1120, Distância: 2.36
Vértice: 179, Pai: 854, Distância: 2.21
Vértice: 180, Pai: 8620, Distância: 2.39
Vértice: 181, Pai: 6617, Distância: 2.56
Vértice: 182, Pai: 4132, Distância: 1.7
Vértice: 183, Pai: 284, Distância: 1.87
Vértice: 184, Pai: 8758, Distância: 2.16
Vértice: 185, Pai: 275, Distância: 2.05
Vértice: 186, Pai: 553, Distância: 1.94
Vértice: 187, Pai: 578, Distância: 2.25
Vértice: 188, Pai: 6148, Distância: 2.08
Vértice: 189, Pai: 8045, Distância: 1.95
Vértice: 190, Pai: 7282, Distância: 2.24
Vértice: 191, Pai: 2973, Distância: 2.16
Vértice: 192, Pai: 9933, Distância: 2.34
Vértice: 193, Pai: 7495, Distância: 2.71
Vértice: 194, Pai: 4614, Distância: 2.19
Vértice: 195, Pai: 3019, Distância: 2.2
Vértice: 196, Pai: 5894, Distância: 2.39
Vértice: 197, Pai: 1951, Distância: 2.49
Vértice: 198, Pai: 6273, Distância: 2.2
Vértice: 199, Pai: 7849, Distância: 3.24
Vértice: 200, Pai: 4997, Distância: 1.63
Vértice: 201, Pai: 5696, Distância: 2.27
Vértice: 202, Pai: 7787, Distância: 2.27
Vértice: 203, Pai: 6407, Distância: 2.51
Vértice: 204, Pai: 5020, Distância: 2.15
Vértice: 205, Pai: 4149, Distância: 2.18
Vértice: 206, Pai: 5621, Distância: 2.91
Vértice: 207, Pai: 4525, Distância: 2.44
Vértice: 208, Pai: 4382, Distância: 2.71
Vértice: 209, Pai: 9485, Distância: 2.05
Vértice: 210, Pai: 4297, Distância: 2.05
Vértice: 211, Pai: 9686, Distância: 1.19
Vértice: 212, Pai: 4187, Distância: 1.44
Vértice: 213, Pai: 942, Distância: 2.75
Vértice: 214, Pai: 7391, Distância: 1.56
Vértice: 215, Pai: 3420, Distância: 2.73
Vértice: 216, Pai: 6299, Distância: 2.61
Vértice: 217, Pai: 348, Distância: 2.31
Vértice: 218, Pai: 9640, Distância: 2.06
Vértice: 219, Pai: 694, Distância: 2.16
Vértice: 220, Pai: 3774, Distância: 2.45
Vértice: 221, Pai: 7896, Distância: 2.33
Vértice: 222, Pai: 409, Distância: 2.32
Vértice: 223, Pai: 3292, Distância: 2.56
Vértice: 224, Pai: 8614, Distância: 2.64
Vértice: 225, Pai: 9070, Distância: 2.13
Vértice: 226, Pai: 8634, Distância: 2.27
Vértice: 227, Pai: 7252, Distância: 2.38
Vértice: 228, Pai: 7732, Distância: 1.84
Vértice: 229, Pai: 2409, Distância: 1.82
Vértice: 230, Pai: 2823, Distância: 2.27
Vértice: 231, Pai: 4087, Distância: 2.03
Vértice: 232, Pai: 7043, Distância: 2.08
Vértice: 233, Pai: 4132, Distância: 2.42
Vértice: 234, Pai: 8509, Distância: 2.05
Vértice: 235, Pai: 5398, Distância: 2.31
Vértice: 236, Pai: 6033, Distância: 2.26
Vértice: 237, Pai: 4854, Distância: 1.91
Vértice: 238, Pai: 4116, Distância: 3.02
Vértice: 239, Pai: 9776, Distância: 2.18
Vértice: 240, Pai: 2431, Distância: 2.31
Vértice: 241, Pai: 1717, Distância: 1.73
Vértice: 242, Pai: 9212, Distância: 2.61
Vértice: 243, Pai: 6482, Distância: 1.99
Vértice: 244, Pai: 3805, Distância: 2.44
Vértice: 245, Pai: 2468, Distância: 2.52
Vértice: 246, Pai: 4061, Distância: 1.49
Vértice: 247, Pai: 8764, Distância: 2.41
Vértice: 248, Pai: 1828, Distância: 1.81
Vértice: 249, Pai: 2544, Distância: 1.95
Vértice: 250, Pai: 9393, Distância: 3.01
Vértice: 251, Pai: 1602, Distância: 2.44
Vértice: 252, Pai: 6345, Distância: 2.51
Vértice: 253, Pai: 1089, Distância: 2.82
Vértice: 254, Pai: 9954, Distância: 1.9
Vértice: 255, Pai: 527, Distância: 1.58
Vértice: 256, Pai: 1604, Distância: 1.91
Vértice: 257, Pai: 8803, Distância: 1.79
Vértice: 258, Pai: 1574, Distância: 1.9
Vértice: 259, Pai: 7065, Distância: 2.17
Vértice: 260, Pai: 9375, Distância: 2.08
Vértice: 261, Pai: 4740, Distância: 2.12
Vértice: 262, Pai: 161, Distância: 2.47
Vértice: 263, Pai: 7956, Distância: 2.17
